time,id,type,link,lane,x,y,angle,speed.mph,pos,accel.fpss
4.90,24_31_0_0,1509,23334065#2,0,9102.7233884,8799.376922000001,284.38,13.533487000000001,55.3149624,3.8385827999999997
4.90,27_3_0_11,4518,5681969#1,0,7870.505501199999,8961.5488432,116.67,5.704197,19.2913392,9.2847772
4.90,31_5_0_7,4518,-222258277#5,0,9223.3270668,7664.534366,330.79,11.766304400000001,32.578741199999996,8.6614176
4.90,4_1_0_2,5018,41381890#0.0,1,5520.5382344,14385.171064000002,90.84,18.767926600000003,88.9435724,-4.92126
4.90,4_5_0_6,8025,41381890#0.0,1,5469.2915136,14385.9256572,90.84,9.395148,37.6968516,9.4816276
4.90,7_add_0_4,4518,107391104#10,0,7356.791574,13027.1001544,272.29,18.052105800000003,55.085303599999996,8.7598428
4.90,B38_0_1,1509,-46121861#1,0,5686.7783972,13010.5319124,117.04,9.4398868,61.3188996,2.7559055999999997
4.90,B54_0_1,1509,221605483#0,0,4636.4174712,15241.9952384,92.15,1.006623,27.001313200000002,2.952756
4.90,B62_0_1,1509,221605483#0,0,4670.538207199999,15240.7157108,92.15,9.417517400000001,61.18766599999999,2.6902888
4.90,add_2_0_5,1509,5676999#0,0,5639.0421752,14827.001786800001,272.45,8.097722800000001,23.162730399999997,4.0354332
5.00,11_29_0_3,4518,46121854,0,6092.2902212,12802.821932,116.93,18.6560796,57.67716719999999,9.448819199999999
5.00,14_5_0_9,4518,-222251427#2,0,8622.1131368,10544.3572928,284.77,6.3529096,20.2427828,9.514436
5.00,1_4_0_1,5018,5677903#1,1,5230.7744456,15407.0214904,158.58,17.045482800000002,120.4396364,-4.92126
5.00,24_31_0_0,1509,23334065#2,0,9100.7548844,8799.869047999999,284.38,13.8242892,57.3490832,4.265092
5.00,27_3_0_11,4518,5681969#1,0,7871.3585196,8961.122334,116.67,6.330540200000001,20.2099744,9.448819199999999
5.00,31_5_0_7,4518,-222258277#5,0,9222.44124,7666.1091692,330.79,12.3926476,34.383203200000004,9.1535436
5.00,4_1_0_2,5018,41381890#0.0,1,5523.2285232,14385.1382556,90.84,18.432385600000003,91.6338612,-4.7900263999999995
5.00,4_5_0_6,8025,41381890#0.0,1,5470.7678916,14385.892848799998,90.84,9.9991218,39.1732296,8.8254596
5.00,7_add_0_4,4518,107391104#10,0,7354.0684768,13027.1985796,272.29,18.633710200000003,57.841209199999994,8.694226
5.00,B38_0_1,1509,-46121861#1,0,5688.0251164,13009.9085528,117.04,9.6412114,62.729660800000005,2.6902888
